Webpage,Preprocessed_Text,Preprocessed_Document
Algérie,['algérie'],['algéri']
Français,['français'],['françai']
Angola,['angola'],['angola']
Português,['português'],['portuguê']
Botswana,['botswana'],['botswana']
English,['english'],['english']
Côte,['côte'],['côte']
d'Ivoire,"[""d'ivoire""]",['divoir']
Français,['français'],['françai']
Djibouti,['djibouti'],['djibouti']
Français,['français'],['françai']
Egypt,['egypt'],['egypt']
English,['english'],['english']
العربِيّة,['العربِيّة'],['العربية']
مصر,['مصر'],['مصر']
Ethiopia,['ethiopia'],['ethiopia']
English,['english'],['english']
Ghana,['ghana'],['ghana']
English,['english'],['english']
Kenya,['kenya'],['kenya']
English,['english'],['english']
المغرب,['المغرب'],['المغرب']
العربيّة,['العربيّة'],['العربية']
Maroc,['maroc'],['maroc']
Français,['français'],['françai']
Moçambique,['moçambique'],['moçambiqu']
Português,['português'],['portuguê']
Namibia,['namibia'],['namibia']
English,['english'],['english']
Nigeria,['nigeria'],['nigeria']
English,['english'],['english']
Rwanda,['rwanda'],['rwanda']
English,['english'],['english']
Senegal,['senegal'],['seneg']
Français,['français'],['françai']
Seychelles,['seychelles'],['seychel']
English,['english'],['english']
Somalia,['somalia'],['somalia']
English,['english'],['english']
South,['south'],['south']
Africa,['africa'],['africa']
English,['english'],['english']
Sudan,['sudan'],['sudan']
English,['english'],['english']
السودان,['السودان'],['السودان']
العربيّة,['العربيّة'],['العربية']
Tanzania,['tanzania'],['tanzania']
English,['english'],['english']
تونس,['تونس'],['تونس']
العربية,['العربية'],['العربية']
Tunisie,['tunisie'],['tunisi']
Français,['français'],['françai']
Uganda,['uganda'],['uganda']
English,['english'],['english']
Zambia,['zambia'],['zambia']
English,['english'],['english']
Zimbabwe,['zimbabwe'],['zimbabw']
English,['english'],['english']
Middle,['middle'],['middl']
East,['east'],['east']
GCC,['gcc'],['gcc']
Iran,['iran'],['iran']
English,['english'],['english']
ایران,['ایران'],['ایران']
فارسی,['فارسی'],['فارسی']
Iraq,['iraq'],['iraq']
English,['english'],['english']
العراق,['العراق'],['العراق']
العربيّة,['العربيّة'],['العربية']
Jordan,['jordan'],['jordan']
English,['english'],['english']
الأردن,['الأردن'],['الأردن']
العربيّة,['العربيّة'],['العربية']
Kuwait,['kuwait'],['kuwait']
English,['english'],['english']
الكويت,['الكويت'],['الكويت']
العربيّة,['العربيّة'],['العربية']
Lebanon,['lebanon'],['lebanon']
English,['english'],['english']
لبنان,['لبنان'],['لبنان']
العربيّة,['العربيّة'],['العربية']
Liban,['liban'],['liban']
Français,['français'],['françai']
Oman,['oman'],['oman']
English,['english'],['english']
